	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-291b-3p	1.6231793280654698	2.76945220373084	1.2191663154710901	9.11292427478284	8.29379147756379	5.7541273361051	3.86482719091287	3.67692560913166	4.69637919921523	9.00252025393315	8.84258835299375	8.819613480385609	3.2538423939277	3.25789085858125	3.3296379262317997	3.4987969021639	3.3317943300217903	2.6578234676475696	2.70172274314317	2.88124606056358	1.9014318356092	2.3021088701162795	2.62426418547508	3.16593443751842	3.3615529108266697	3.22829017703955	3.23196092933365	3.14762230383761
mmu-miR-292a-5p	11.453737127274499	11.3997228719419	11.6448257603288	10.693641918335599	10.567038980218099	10.198919985538199	11.1932766666435	10.8652083577288	10.8548730718521	10.4276609381847	10.3693950081324	10.265368560214199	9.92949377714624	10.0403616139609	9.50504465398523	10.4321906658959	10.214946291830199	10.3274699517364	9.92798321824545	9.6598437459069	9.71599137977756	10.1066638246309	9.82819754668539	9.879742504144382	10.384932304852699	10.4449608265172	10.4623611670574	10.3518706763078
mmu-miR-292a-3p	9.75912458019743	9.8825488241077	10.3921193698816	8.879197274021868	8.82458259548232	8.65078582153921	9.37298371601975	9.30721147846358	9.41341577654007	8.23839890758717	8.26417378878175	8.76280637651109	7.8548114141127	7.84110413433226	7.44509882042897	8.35533283161	7.95974789883187	8.28604951313027	7.965955526490849	7.780698864873849	8.467159852191301	8.05846369446846	8.01531470132414	8.15791881230615	8.14053535118901	8.42177455855911	8.24793049425605	7.97706298468253
mmu-miR-293-5p	10.7939662199787	10.6709991071517	10.5378594121315	8.94335098738716	9.09606612013574	9.693856371524731	9.80863007006242	10.1744638577226	9.98551863438812	9.54725306001626	8.64862687509737	9.05396050718256	5.7727584275545505	5.53485690255409	5.52578758807205	6.27023951681849	6.40219558585224	6.143454673338691	5.73801980053323	5.70747560282707	5.65658321319437	6.237780503950209	5.93796599680403	6.34660821430931	6.120460202090629	6.567222574368389	6.722276032029869	6.2743771591568605
mmu-miR-293-3p	10.2360560066611	10.445130589345501	10.4070165367628	10.430529545147099	10.4109129339944	9.5383675413311	10.8860639532422	11.1238465708558	11.4828727047738	10.3807747093157	9.734085473816199	10.3761716410371	7.96970912974276	8.24656727060755	7.93073677711456	8.19857620614031	8.34147896389635	8.24277759079752	7.992009710783241	7.745164990435869	8.455587105601701	8.24335322673775	7.98872074154799	7.95787826102152	8.1924386673176	8.53305904221503	8.35600738058973	8.224122943412809
mmu-miR-294-5p	9.11105589725925	8.95755029943146	9.219998370709881	7.7998140412681405	8.05742659084848	8.135696566691509	8.849184083388632	8.62869272814327	8.24001340565005	8.01220389806107	7.6476900137943	7.78864030807987	4.16146711562891	3.9176695716315604	3.5247700451525996	4.770600895185259	3.88315655720401	4.18124645590648	3.6202209439390804	4.36750486435165	3.78711608799497	3.76631038906439	3.1810809986242403	4.59312538280026	3.28033148081027	4.29328174802755	4.59784164797899	4.46518312958574
mmu-miR-294-3p	11.682205699735698	11.693929707100198	11.879391231607402	10.6564608364426	10.6445797232944	10.9345647989133	10.798313423213001	11.045638135343498	11.2827984008656	11.022808637373199	10.463961432498401	10.784196517460801	8.883601331598939	9.082196875139632	8.68837449473235	9.33787295425552	9.62134312175937	9.369381660939972	9.01833874991707	9.22368828260226	9.33251908338782	9.2718398834835	9.25509388880149	9.141359959399539	8.951663767907359	9.10043788505225	9.110251235601961	9.199621926569142
mmu-miR-295-5p	8.81435514068739	8.690660628814982	8.4974324241137	7.29095028011806	7.37726244886608	8.02119994051621	8.395914493816871	8.04683281998301	7.824557033806959	7.692628921675969	7.129474026678151	7.38680856613951	4.37762972470959	4.19467389401491	3.64509852191544	4.13919578534031	3.9258329475732303	4.38042656450633	3.91632968698247	3.8844873791732204	5.0210167209616205	3.7902128814223	3.80796912206186	3.5685133796043904	3.5950253199530096	4.12517194627061	4.92847169747101	4.49065242208579
mmu-miR-295-3p	10.703146168022199	10.7981578125982	10.631934906761499	10.364028685902	10.5628654108214	10.1954881246475	10.5537310888561	10.997089265115099	11.128211401670999	10.874519816292901	10.1641005184433	10.8776054958727	6.34572336166694	6.04042004855762	5.83423409032074	6.45100245169582	6.48792883663093	6.410652836542139	6.573718164100731	6.662375247866009	6.2068771774675895	6.397218266224941	6.26021478254695	6.399302117057751	5.763813309377969	6.46746437590955	6.124695539262951	6.121623959809701
mmu-miR-296-5p	5.1643059666431705	5.167408043960361	5.26974405493746	5.00799199887488	4.958044280723589	5.00407857990679	3.66466454678356	1.94884194291476	3.3934789993983197	3.86547148499085	4.8815358296124804	5.0871446934463895	2.9275146857051597	2.9928799023757797	2.5650464346092	2.6219820451132203	1.8286350815225902	1.8369501737719598	2.5091651842219997	2.68524095843193	3.6228153248888497	3.10271723083123	2.8104852984139703	1.8976663121247301	3.16751225532997	2.57088689695131	3.28280039274096	1.16719890287331
mmu-miR-296-3p	4.21518875161494	3.71697428566024	3.96809542277502	5.22631376552837	4.96620606811022	3.4624977369735803	2.78037346444222	3.5801215822362704	3.9661155871247407	4.43234241036611	4.505458549212929	4.48044980190503	2.7935231203118303	2.82075212703733	2.5740187194254	2.5607480457751297	1.85121194660961	2.15515039022824	2.1834878611280804	2.6131344787528596	1.5688368290694499	2.64036693036633	1.39852782626554	1.4091894846251003	3.62744662969495	3.5315612212899796	3.40450896354673	2.23765268542362
mmu-miR-297b-5p	-1.1763002462429901	-1.07589198002252	-0.5646260604616451	1.9933103407936499	2.37505914222018	2.04516039252493	2.62689447036264	1.28553737202598	2.2929788595041605	3.33455505403086	1.4556069180183997	3.05378836795573	-0.404865124186026	-0.515481753994656	-0.307040858170408	-0.660448276677857	-0.510239612956472	-0.55438503965288	-0.590490222228789	-0.5558875320024771	-0.541540214365696	-0.624085117201283	-0.605659991437181	-0.323614718735665	-0.509397114124567	-0.39449927298863	-0.11607150107683599	-0.48936254686863706
mmu-miR-297c-5p	-1.07296680450601	-0.942071924644413	-0.276674288415291	6.5870478481988295	5.07761930981398	2.4407221990993597	0.0105430878018895	2.78103529893582	2.5727851341568	5.13430705883928	6.08181389784727	5.31356872311716	-1.5784560162528702	-1.63546710681787	-1.6358316411809	-1.6363232144798503	-1.5017079308178898	-1.63707898238423	-1.58299557449222	-1.5698619319451397	-1.5644163281461698	-1.5957467027741399	-1.5887533443361699	-1.5872258237413301	-1.55221623658795	-1.60516692207084	-1.40467118723845	-1.63367905046763
mmu-miR-298-5p	4.57245726817239	3.7741822791951503	4.382655555606481	7.32830136531832	6.80678385951252	6.08274991906886	5.016453151685901	5.521113466050509	4.8994512125322	6.52181336097381	6.5680498022000595	6.6568628264519	3.08274151599875	2.2939908320030096	3.5018311528131605	2.25787933329014	2.6149690551970197	2.67517487351398	1.85421949323126	1.52624201180103	1.56198872030476	2.44799843237498	1.79990220772199	1.4124577232128999	2.52716233978098	3.04911507883246	3.3044787534499704	2.7544821486673903
mmu-miR-299a-5p	5.04571128666074	5.01503492502195	4.697301854873889	-0.38677915941690794	1.07260937715303	0.615323733988458	4.5557291716331605	3.9984310592382095	3.15836310571428	0.7428148325322901	-0.19499638568594102	-0.102609043806596	-2.3105684810033904	-2.2996973362682303	-2.3018549102007597	-2.30488217211668	-2.31079157372921	-2.30982208247075	-2.2013730249559904	-2.25612392526386	-2.2528968496739705	-2.27146329169154	-2.2673190136390597	-2.2664138019110895	-2.2456670512686	-2.27704573229245	-2.28329940873834	-2.2939420760152003
mmu-miR-29a-3p	4.49935508295484	4.74064264279522	4.869711725371451	6.56880009054912	6.77548583226202	7.71530406834283	2.12663174649723	3.89591847056204	3.1799397820482898	6.906019829307799	6.433530570598121	6.399018996944901	1.4189847353727498	1.765114823489	0.7398309017545308	2.43135771287287	2.63175139215915	1.1563958280446298	4.22254946555955	4.11351319113258	4.38399248046781	3.11529024002464	3.56993046056852	3.8594872830665805	1.5889682516926598	1.8639656210071	1.02523955430237	1.90718272107436
mmu-miR-29b-1-5p	-2.06810135639193	-2.03700306842086	-1.8740455726884402	-1.39920185646305	-1.93518571953091	-1.21904033098565	-1.8005600724711799	-1.70159573875578	-1.74131282716974	-2.0914754470089	-1.82417782795758	-1.7986429873449499	-1.8999660179419398	-1.78498479073095	-1.8983358999548798	-1.8987880396917098	-1.90053713209275	-1.8994480197921801	-1.83143717873417	-1.81757748515042	-1.81183083872224	-1.62217742208245	-1.8375132482995502	-1.8359012836590098	-1.7989563044805401	-1.8548341977010603	-1.8659704932137098	-1.88492252708748
mmu-miR-300-3p	6.40607268739893	5.72600931389807	5.57559370414432	2.02668139508264	1.30134404788635	1.33067109935803	5.80129457198277	6.13984711933826	6.279180598415341	3.54336639705737	2.90796360138668	3.6510526166017403	-1.70111247123095	-1.82605700367827	-1.82663879795178	-1.82700456567413	-1.828413899062	-1.82754087882765	-1.76757476356119	-1.75485714258453	-1.74958403385966	-1.77992198680357	-1.77315015015207	-1.77167101533553	-1.73777039268875	-1.5846803462356103	-1.79926244857133	-1.8166527885588
