	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-5110	-0.995177453286139	-0.980224453992028	-0.9827444773379821	-0.800724174309922	-0.872100398210995	-0.8266485235528108	-0.189178398183067	-0.8204682377046558	-0.8030983856134141	-0.5664418158867559	-0.544135088079706	-0.875853874148728	-0.091001489505842	-0.933080627295391	-0.957487168819176	-0.9729664315037491
mmu-miR-5112	-2.32084368226261	-2.30684151148091	-2.30955645784332	-2.31336576124784	-2.32120566185995	-2.31958181319592	-2.2618052865680895	-2.17332315746153	-2.2479509173174903	-2.27131368299544	-2.2660988013852403	-2.26495974364496	-2.2388534237921602	-2.2783382519218196	-2.28620745902637	-2.29959947789258
mmu-miR-5119	0.544523343580413	0.24651593691140902	0.49067466865742604	1.28130789281077	0.158063508289075	0.594986256409366	1.74398058411473	1.68330700116349	2.63514239989882	1.3830572302338702	0.881931831625565	0.893407069063155	1.1643873869176	0.37596593948107504	0.33768062187937903	0.985752442160792
mmu-miR-5121	-1.61793157170555	-1.61116245223467	-1.61231766676285	-1.61384633386684	-1.5130804614809799	-1.6161193742005	-1.5025717887302898	-1.47606746754976	-1.46507797765065	-1.5283041777599697	-1.0882849436703002	-1.51110863480099	-1.2275044566714	-1.54731463254702	-1.5686109152710899	-1.4008247105308202
mmu-miR-5124a	-2.3105684810033904	-2.2996973362682303	-2.3018549102007597	-2.30488217211668	-2.31079157372921	-2.30982208247075	-2.2013730249559904	-2.25612392526386	-2.2528968496739705	-2.27146329169154	-2.2673190136390597	-2.2664138019110895	-2.2456670512686	-2.27704573229245	-2.28329940873834	-2.2939420760152003
mmu-miR-5126	2.9219777443892996	3.1697470546873303	3.4276417968057205	1.6562285041346398	1.3847202663549	1.2891142322931202	5.25757749534962	5.68768184861056	4.86277614059568	2.90072121454799	4.930685218230599	3.73786738713019	4.8336136608640405	5.9396383510733095	2.3115967348459	6.63661637157676
mmu-miR-5128	-1.43428897772419	-1.50223567587071	-1.50263587023131	-1.5031543530876201	-1.44547557363698	-1.42424764815149	-1.4396886869318	-1.42328598060781	-1.4164849244993503	-1.4556136682732799	-1.4468796095941898	-1.4449718774756002	-1.4012481371238703	-1.20379838785838	-1.4805582640533301	-1.3775968435069998
mmu-miR-532-5p	2.9619968679127697	3.2969118172371203	2.37529885202909	3.32804969407812	2.8752120221357	2.48125427804549	2.9378031867816903	2.7351869642013105	2.19978570550051	2.5901203436624	2.48901738722717	1.5865060274153502	2.32236664206454	2.7569831279291703	2.8278174187030602	3.4226651511792703
mmu-miR-532-3p	0.37041866838329607	1.0043342809326998	0.0361985440244457	0.91190686903651	0.22796030729916503	0.30176680850091697	1.04120976710992	0.16743871932139198	0.192004567649568	0.11400465433059402	0.127253176489181	0.9994743119989321	0.247040815212434	0.0970447905708205	0.887413250764858	0.44726206049999
mmu-miR-541-5p	2.30727432946887	2.73353852394176	2.97649201064654	0.294305524182373	0.40768105115477504	0.24942665660494898	2.12359992086387	0.7837421421078159	2.95211286747571	0.628291711855145	0.670861217989284	0.680122004291777	3.43688229306158	1.5987647438334298	0.50647172454512	0.39922538732002005
mmu-miR-542-5p	-2.3256786753681298	-2.31015379685804	-2.31313603834687	-2.31732037981813	-2.3261179438553796	-2.32414842190137	-2.2606836119974	-2.24992576381232	-2.15902960724589	-2.27112814037205	-2.26539983703885	-2.26414863543198	-2.2354720651455198	-2.2788443005081898	-2.28748825614439	-2.30219876197056
mmu-miR-542-3p	1.69816738639912	0.766378441218844	1.3071944080024	1.90545868422591	1.92868258626361	2.06067934889471	0.729933183765938	0.777202687554612	0.7970492786566099	1.05232442999311	0.7096557317358091	0.7150014906828002	0.84157277940893	0.6541450576554899	2.2310692316922798	1.9049592142756298
mmu-miR-543-3p	-2.2976955930236	-2.29060407354796	-2.29205543279275	-2.2940918147223903	-2.2977933883504797	-2.29741479914147	-2.2665285550469	-2.26129306272478	-2.25912226990957	-2.27161156488054	-2.2688237872875	-2.26821486845043	-2.25425892103637	-2.23330137811953	-2.2795734973266404	-2.2867326186473997
mmu-miR-574-5p	0.6097187403209661	0.9534932481787131	1.1762602265486102	-0.0319187648731811	0.0846896564960108	-0.0467425022755019	1.1727921008454298	0.17428476681227698	1.80805576170959	0.0999250890026938	0.11922338727423801	0.12348782045478698	1.21301035647451	0.0746628171557787	0.631360183786354	0.00550761969431712
mmu-miR-574-3p	-0.9256695414486771	-0.94426485138081	-1.15465736813243	-1.27196851832596	-1.2752534242306102	-1.27320466694676	-1.02286384790225	-1.1771594685509599	-1.1680651225543999	-1.2203879278093102	-1.2087087782308998	-1.2061577662000502	-1.14769054924421	-1.23612001864998	-1.2537437450750801	-1.26859638583776
mmu-miR-615-3p	-0.869445616142375	-0.8853593080234949	-0.9822350810496869	-1.0814169345823699	-1.11659228454885	-1.1760869657249298	-1.1129544226681798	-1.09249280246638	-1.08400879840547	-1.13282010297081	-1.12192476728767	-1.11954495938973	-1.06500160835923	-1.14749637794751	-1.16393733660637	-1.1723751594112
