	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3
mmu-miR-669o-5p	0.48972056906106604	0.0582159597187051	-0.29774840134287	2.4359304443864502	2.9962598372883797	3.66780263975173	2.20527097812999	2.2205882761690097	3.1240566431638395	3.2724362201891397	4.27224874906492	3.42686166125225
mmu-miR-669o-3p	-1.6336861616685803	-1.6148562158503799	-1.3613191811927599	-0.526448352369077	-0.669645542381567	-0.6794506042904439	-0.33319832475531	-1.03338415340244	-1.1089111875303401	-0.647957541731707	-1.2664893986338501	-0.32817459138856103
mmu-miR-671-5p	-1.33130196134351	-0.36625862917095103	0.133414780191913	0.7152368588847099	0.8803762051893349	0.47931155267118103	0.36797035527825495	1.37049047854696	-0.605084859262859	-0.389869874792312	0.9074645737169549	-0.760757691231557
mmu-miR-672-5p	4.613889166755481	4.96114276620733	5.09395613600293	2.60349698479609	2.02433398142115	1.55821959217096	4.2485643798228	3.9737363828058303	5.16079042902635	3.6224352556532002	4.30866452602056	2.7471629874226005
mmu-miR-672-3p	0.7095503702661179	0.442635155171409	-0.192968311262082	-1.2277149453658602	-1.3713091626145	-1.64408393970043	0.648200710530053	0.328197029295676	-0.899058006987987	-0.6517954853012929	-1.1009072284363899	-1.03870741369597
mmu-miR-673-5p	3.6826129718412406	3.68137654139037	3.5037882919123704	0.50513996025884	-0.8952361993787901	-1.4956044795969499	2.88170158446249	3.1483774706111096	2.9472482384852796	-0.8730836647712329	-0.540641950654863	-0.4544141402488471
mmu-miR-673-3p	-1.38850466091421	-2.10021441589126	-1.98561480505445	-1.9871552896394398	-2.02861152026022	-2.1361692129941203	-1.93393623887867	-1.86433972182657	-1.89227070380045	-2.14055855014818	-1.95054538947598	-1.9325880516816398
mmu-miR-674-5p	3.52976754613374	3.6445515252705096	3.62243158500599	2.2473426326141404	2.61872572700758	1.5226977690635601	3.7778835396413304	4.01248164305077	3.20529550718927	1.9060972741150901	1.11508496430833	2.63979934455608
mmu-miR-674-3p	4.29594179507087	4.58956634306963	5.02504261100463	0.8718377370074358	1.1949600769203501	1.28625680769611	5.00471694138296	3.4554137539544	4.28057803675923	2.09291592684198	1.7453929474234298	2.6641081028615696
mmu-miR-676-5p	-1.61741740757811	-1.56676264878052	-1.89190652216871	-1.8945160607333502	-1.96474177646151	-2.13967076645447	-1.80436445085264	-1.68646986301905	-1.1655011084081799	-2.15353697580843	-1.8324998956547298	-1.8020806587801599
mmu-miR-676-3p	-0.507478319730855	0.372378266931998	0.108072159719861	-1.4221023154638701	-1.55046029685703	-1.8219586880895	0.35788379918068997	-1.04183719892878	-1.1283179139096398	-1.8950254387723402	-1.3087496827324399	-1.25314965359419
mmu-miR-677-5p	-1.35076337720157	1.08454696075743	0.068860669121097	0.0621538349435437	-0.11622781890828698	-0.15987518274618698	-0.809683429638852	-0.5498695306499111	-0.6541399400985861	0.725429682311009	0.22290266464632102	1.3300148007554298
