Gene names	E14_Pause1	E14_Pause2	E14_Pause3	E14_WT1	E14_WT2	E14_WT3
Pop4	0.0	3.2788702652764945	0.0	1.1566236811254396	1.3631327778545013	0.0
Ppil3	2.262780137688589	2.7606902467995247	2.4223553499658754	3.683470105509965	2.0805597753533123	3.179813964725779
Ppm1d	0.20234949465358137	0.0	0.0	0.0	0.0	0.24535213819763227
Ppm1f	0.288129485864948	0.0	0.4465003412451657	0.8658851113716295	0.8731758965152143	0.8387593621647741
Ppp1r1a	1.1168009374542258	0.9209119704368484	1.239978766967468	0.0	0.942779542420476	0.5803636143996135
Ppp3cb	0.2806327816024608	0.0	0.0	0.0	0.0	0.23639768059917854
Ppt1	0.6973487622674674	0.8757753728388544	0.6616819595055736	0.0	0.49167548988015775	0.443585407103165
Pqbp1	5.4964113080415995	3.2326118516563285	4.154091150375369	2.8430078713783287	5.296997038469211	6.868204880405895
Prcc	3.937014794199502	2.524514979543355	2.9981648593311596	2.784525205158265	2.991115407632463	3.171961826528147
Prcp	0.0	0.7644186353438036	0.0	0.3541450343326076	0.0	0.0
Prpf38a	1.2278306723304526	3.2009370463244027	2.9415939940850837	1.6530564394573772	1.2110973008639077	0.4336192316984779
Psme2	0.28270982862164934	0.31477167744489903	0.3659058163342686	0.2339373639256406	0.1471374426491123	0.0
Psmf1	0.0	0.0	2.6181845757185105	1.5316697370624686	0.0	0.0
Ptgr2	1.2558957082173723	0.0	0.9142337150223705	0.0	0.7825806748607467	0.0
Ptma	105.47238904350374	303.8471690642735	111.35815575946008	114.81158934851784	69.732541545827	77.88415076105339
Ptp4a2	1.2617840925736048	1.3745215784611324	1.412754985971032	1.9213197119410483	1.8269422578219705	1.934042039139889
Pus7l	0.0	0.0	0.0	0.0	0.14232226979085147	0.14251932834017877
Pvrl2	1.545305405009521	1.1969776956579121	0.0	0.7558532909060459	0.771286961592168	0.0
R3hdm1	5.192324593525707	8.050019796753332	0.0	0.0	0.0	8.993718289441894
Rab2b	0.0	0.0	0.0	0.0	0.0	0.0
Rab4a	1.2062985205800498	0.0	0.7379085462955941	0.0	0.9511270696189906	1.1144902150277844
Rab5b	1.0039841804599385	0.7070740398574634	0.7393645256692197	0.3819460726846424	1.167794503521613	0.36772167190142546
Rabep2	0.5808407792588253	0.0	0.562372033062865	1.1623178697035672	0.641409259003514	0.6965148586615124
Rabgef1	0.0	0.0	0.0	0.0	0.0	0.0
Ralb	3.20521458913139	2.367460736439224	2.567437627966937	4.227767543125105	3.0387147263269347	3.5911452041555934
Ralgps2	0.4154972901713784	0.0	0.2862030787897171	0.2621805392731536	0.3099940155595452	0.27692981396472577
Ranbp10	0.4850153801083931	0.5773723109410057	0.0	0.5890470607938368	0.6388006567539781	0.0
Ranbp9	0.602285044675553	0.9497492411244556	1.2251156441950406	0.0	1.1231720603354356	0.7334803092534429
Rchy1	0.36302914896733557	0.0	0.24649124137408054	0.0	0.32813147355337663	0.4471490698236289
Rcn1	2.513431961330013	2.302164445031015	2.632896033972852	1.9608775749455702	1.8382973499670088	1.5323749697994684
Rdh11	0.7680093745422587	0.8600699485284413	0.7889891559869568	1.055903533746441	0.771286961592168	0.9993053877748248
Recql4	0.0	0.0	0.0	0.0	0.0	0.0
Rheb	3.683902153215175	2.9704368483568695	3.042086903768863	2.5345168313515325	2.4392579293836025	2.2185008456148827
Rilpl1	0.36926907865826863	0.2901379173815494	0.3834989004322439	0.0	0.63293897405208	0.47798381251510025
Ripk1	0.0	0.0	0.0	0.0	0.0	0.0
Rnf10	0.0	0.0	0.0	0.0	4.530988660252574	0.8476685189659338
Rnf126	2.9200234363556468	2.267652105054771	2.1604307272313643	2.3784290738569753	3.043532968129018	3.597185310461464
Rnf138	0.6619598652409551	0.46690642734591525	0.5476909077121408	0.5481158934851783	0.3209808344458255	0.5431867600869775
Rnf169	0.0	0.0	0.3481914006218245	0.0	0.33451487670518193	0.30985745349118143
Rnpc3	0.22897612421268493	0.0	0.6087207097899446	0.31965834868531234	0.0	0.0
Rpe	4.18309652848982	2.8553847169064275	5.188139834685675	3.8264947245017584	6.751062621798708	6.798441652573085
Rpia	1.1734583272301158	0.0	0.7211647834989005	1.2032155417852957	0.8041553499363194	1.1787871466537811
Rpl22l1	1.1038230555148674	2.2194470106902466	1.872268142867976	4.346675598727181	2.571069066580736	1.7043367963276153
Rpl35	34.14677017723744	68.06783687475254	33.67862288617578	76.25858315190085	63.39824149518943	46.309495047112826
Rpl37a	4.214442654167277	5.705424310413092	8.395237734132099	9.556188243175347	11.568076846353328	8.576648949021504
Rpl38	38.40339827156877	30.722911442523426	24.68370364753166	68.63171997990287	50.137335236078506	52.34658129983087
Rplp1	238.11923245935256	173.47564999340108	179.2007279896868	294.3292580807235	282.5300372876674	233.51352983812515
Rps29	10.384942141496998	17.792002111653687	9.047698490938044	19.20415340813934	24.434930718593197	14.36699685914472
Rragc	1.0673209315951369	1.1521050547710177	1.4476074922271935	0.0	0.8214335036597155	0.0
Rras2	0.12691079537131977	0.3774910914610004	0.2581603093956169	0.30668564729526043	0.21977320505148154	0.14727289200289925
Rrp36	0.0	0.0	0.0	0.0	0.0	0.0
Rtn4ip1	0.927464479273473	0.0	0.7213467809206037	0.6880254563724669	0.8457702281759732	0.8029113312394298
Rufy3	0.31196718910209464	0.0	0.0	0.31605426226762684	0.0	0.0
Rwdd1	1.2349494653581368	1.0050151775108882	1.4905588837491468	1.9875732708089098	1.9035124062054045	2.4737255375694613
S100a11	12.087886333675113	7.746139633100172	9.566087813755972	7.246022441802043	11.668124414982584	9.879801884513167
Sall3	0.23213124359162152	0.0	0.0	0.0	0.20346790651997115	0.0
Sap30	3.1149846198916067	4.805331925564207	3.94509744445287	3.1528052252554013	2.3673832650493334	2.2401546267214303
Sass6	0.0	0.0	0.0	0.0	0.0	0.0
Scaf1	0.4437088032810898	0.5679028639303154	0.48132251459770986	0.0	0.43152419094968464	0.3001087219135057
Sco1	0.0	0.6654348686815362	0.5785698035944491	0.4783118405627198	0.0	0.0
Sdcbp	0.8853669254430936	0.8791408209053715	0.8399484340638508	1.5157929994975716	1.2669213890039743	1.22565837158734
Sdf2	0.5576680826131537	0.6963507984690511	0.891120042466065	0.3844582147044046	0.402399914069573	0.384784972215511
Sec31b	11.586934231726966	12.597993928995646	4.799272010313187	6.427399095628873	9.601497644585615	6.284126600628171
Sec61b	1.0044529075728723	2.123630724561172	1.2483506483658149	2.3384022776754314	2.081940800073655	2.796206813239913
Secisbp2	0.0	0.0	0.0	0.0	0.5897589344627047	0.38318434404445517
Sfmbt2	0.0	0.0	0.0	0.0	0.0	0.0
Sh3gl3	0.31873443679507835	0.0	0.22498521270948663	0.18845084575447998	0.0	0.0
Shroom3	0.0	0.0	0.0	0.0	0.0	0.0
Sike1	0.0	0.0	0.0	0.0	0.0	0.0
Slain2	0.7009813973927055	0.4853833971228719	0.560248729809661	0.7945402780103835	0.6486826558639844	0.6554119352500604
Slc16a1	2.0171964259557638	3.1959218688135147	1.8445135360582392	3.775916931837213	1.981402200432721	2.2872976564387533
Slc25a1	1.7588399003954884	2.0764154678632702	2.099067263213771	2.75471445319042	1.4032131841826636	2.0285395022952404
Slc25a12	0.0	0.0	0.0	0.0	0.0	0.0
Smad3	0.0	0.0	0.0	0.0	0.0	0.0
Smcr8	0.33206386406913724	0.0	0.0	0.5053089934684307	0.2683545857693075	0.0
Smg9	0.3059616229676285	0.0	0.3512246909835444	0.2163925640596215	0.0	0.27481577675767094
Smtnl2	0.33124359162150285	0.25308829351986273	0.3944187457344354	0.0	0.34341481379183353	0.308800434887654
Snf8	0.6994873297202285	1.2086247855351722	1.0698415105786	1.922693016245185	0.8840399576485752	1.0002718047837642
Snrpd1	2.702592646843416	7.5900752276626635	8.367938120876621	6.132976050912745	3.7398149426874743	1.8576648949021504
Snx17	0.0	0.0	0.0	0.0	0.0	0.0
Snx9	0.6799472681997949	0.0	0.0	0.0	0.0	0.6271744382701135
Soga3	0.8213563790830526	0.0	0.684310305604004	0.0	0.5338427780079485	0.5232242087460739
Spata13	0.0	0.0	0.0	0.0	0.0	0.0
Spg11	0.0	0.0	0.0	0.0	0.0	0.0
Spry4	1.1891020946242858	1.649564471426686	1.5624175324182907	1.8388879584659186	0.9384523316300695	0.9732423290649915
Sptlc1	1.6004394316683757	0.9038207733931635	1.8579510123606582	1.7549489197789314	1.4866884561678098	0.9460618506885721
Srp14	5.607148088472242	4.830077867229774	3.56199287176765	6.190922793501926	5.180070278813546	6.240335829910607
Srp9	5.240076168155852	3.008281641810743	3.1576552665503907	4.008373806732541	5.753962773711427	5.490758637352017
Ss18	2.9688003515453345	2.8518542958954733	2.976446500341245	2.539407134483336	2.2100692046832084	2.175525489248611
Ssu72	4.1309506371759195	3.5977299722845455	3.466747554409646	4.035169988276671	6.018198836870291	5.832326648949022
Stk11	0.0	0.0	0.0	0.0	0.0	0.0
Stx7	0.5893364581807529	0.0	0.7228634261014636	0.7693183721319712	0.7271862388558977	0.8471853104614642
Stx8	0.305053464186319	0.23244687871189124	0.4323955410631683	0.5679115726009044	0.3828507419171692	0.6304360956752839
Sufu	0.975450417460085	0.7305661871453082	0.6791840448926973	0.8455200133980908	0.7662232042842456	0.6541737134573569
Sumo2	35.708217372198625	89.39883859047116	67.1054826723288	42.743259085580306	50.85239914683362	29.012140613674802
Surf2	3.2517943459792003	2.586214860762835	2.6674755440964586	2.8173840227767544	2.5924289155887004	2.5385962792945156
Suv39h2	0.0	0.0	0.892636687646925	0.0	0.6842517147723611	0.0
Syap1	0.5736633953420243	0.0	0.8158641085917949	0.0	0.6678635547576302	0.5102681807199807
Syf2	2.1605976270689906	1.4107166424706348	2.062455448547812	0.0	2.1540916693519927	2.00513409035999
Szrd1	0.4895268785703823	0.44143460472482515	0.6121483278986881	0.908256573438285	0.4506130215286409	0.3900398647016187
Taco1	0.0	0.0	0.0	0.0	0.0	0.0
Tamm41	1.1352277720814414	1.0953873564735384	0.8809888526579207	0.0	1.5037517838235972	1.2526878473061125
Taok3	0.0	0.0	0.0	0.0	0.0	0.0
Tarbp2	1.5541526292661492	1.2412234393559456	1.1735193751421855	1.67010550996483	2.056867529039881	1.859356124667794
Tbc1d31	0.6751135198476637	0.7205688267124192	0.4171380905437173	0.35153240663205493	0.5100584633798279	0.0
Tbpl1	0.0	0.6972416523690115	0.5838780617274588	0.9731703232289399	0.45794779726557105	0.0
Tbrg1	1.165343489087447	0.9437112313580572	0.974141199666338	0.9325406129626528	0.6806303610612408	0.9740275428847548
Tbx3	0.43758605536839024	0.47729972284545336	0.36945476605748084	0.0	0.2416363608464147	0.0
Terf2	0.0	0.0	0.0	0.0	0.0	0.0
Terf2ip	0.36053903617987404	0.0	0.2784135891408205	0.0	0.0	0.0
Tex14	0.0	0.0	0.0	0.0	0.0	0.0
Tfeb	1.688003515453347	0.7232413884123003	1.0180025782968074	0.7344833361246023	1.1580045727262962	1.3199746315535152
Thg1l	0.466852204482203	0.26769499802032465	0.3299613255478881	0.5561547479484173	0.6865227332013687	0.7881432713215752
Tipin	0.4071773839168009	0.8605978619506401	0.6764237506635322	0.6835370959638252	0.478018689867882	0.44144116936458083
Tm9sf3	0.0	0.8988055958822753	0.6044741032835368	0.5246692346340647	0.0	0.0
Tmed4	0.0	0.0	0.0	0.0	0.0	0.0
Tmed5	0.0	1.114425234261581	1.0336846894668992	1.8148718807569921	1.0670717672513004	1.3263167431746798
Tmem263	1.7813973927054343	1.171967797281246	1.1576552665503905	2.3739407134483335	1.57682333624883	2.120862527180478
Tmem55a	0.0	0.0	0.0	0.0	0.0	0.0
Tmf1	0.3008349201699136	0.0	0.191239857435353	0.0	0.0	0.0
Tom1l1	0.0	0.0	0.0	0.0	0.0	0.0
Tomm22	5.046433279625019	4.887158506005015	5.1632668537195725	7.145871713280857	8.487777931224969	8.576950954336796
Topaz1	0.0	0.0	0.0	0.0	0.0	0.0
Tor1a	0.5685659879888677	0.9544014781575821	0.7006294077500569	0.0	0.0	0.40356970282676974
Tor1aip1	0.6092866559250036	0.7764616602877128	0.9388033669523015	0.6811254396248535	0.8373613221009989	0.602107997100749
Tox4	0.8987549436062692	0.0	0.7362402365966482	0.6501758499413833	0.774969694179748	0.9437968108238705
Tpp1	2.0775450417460086	3.127161145572126	1.2780465610070524	0.0	1.083183722321963	0.0
Tprkb	1.950051267027977	1.5150455325326646	1.4277091074543111	1.4135320716797857	1.2861943562123095	1.7076890553273738
Tra2a	1.0767247692983741	2.6702520786590997	2.857693182679912	2.8584491709931337	1.765747517991683	0.8790468712249335
Traf6	0.0	0.0	0.0	0.0	0.0	0.0
Trappc2l	0.32474000292954447	0.5911640490959482	1.1894138166375976	0.414637414168481	0.0	0.0
Trerf1	0.0	0.0	0.0	0.0	0.0	0.0
Trio	0.4791855866412773	0.41342219875940345	0.3442177902479715	0.23682130296432757	0.0	0.22154807924619474
Trip4	0.8460231434012011	0.0	0.0	0.0	1.1120624836962358	1.1903841507610533
Tsc2	0.7318002050681119	0.7877128150983239	0.0	0.0	0.0	0.6333655472336314
Ttc3	0.3812216200380841	0.4415005939026	0.0	0.0	0.0	0.0
Ttc33	0.9911820711879302	1.1300316748053318	1.1009024038826116	1.4035839892815274	1.5633199834277034	1.350416767335105
Ttc5	1.377969825692105	0.543816814042497	0.7898081443846212	0.0	0.8748638156178551	0.930055568978014
Tulp3	0.5647868756408378	0.7524745941665567	0.6748464396754379	0.6656841400100486	0.5136184382144885	0.5071273254409278
Txndc17	23.900102534055954	17.741190444767057	16.898460605141427	16.716462904036174	21.20517423928555	18.573326890553275
Txnip	1.3767687124652117	1.8199155338524482	1.7507241980738606	1.094657511304639	1.912780616550814	2.2046086011113797
Tyw5	0.0	0.0	0.0	0.4303801708256573	0.3565192039159723	0.2864278811307079
Ube2f	1.1789365753625312	0.6006664906955259	1.1562902858876165	1.0488025456372467	1.2696220595681995	0.8230550857695096
Uhrf1bp1l	0.34193642888530834	0.0	0.24791688784408888	0.0	0.37459528303334405	0.23180115970041074
Unc119b	0.0	0.0	0.0	0.0	6.7130077183937145	6.273858419908191
Uqcc2	0.6736487476197451	0.0	0.7313566391142792	0.7559872718137666	0.8173518083751476	0.812454699202706
Uqcrh	0.544514428006445	1.0155734459548633	0.8053082581330098	1.0997152905710936	0.7574153355122835	0.6266610292341145
Usf1	2.4433865533909476	1.0334565131318463	2.151664518085994	0.8755652319544465	2.5647163528671606	2.588819763227833
Usp45	0.0	0.0	0.0	0.0	0.5639491169114149	0.8698659096400096
Vps18	0.2474263951955471	0.3401742114293256	0.30270417835747326	0.2740947914922124	0.2783286531940033	0.34232302488523797
Vps28	2.233308920462868	1.4606704500461924	1.791521953438993	1.5416848099145872	2.3332872991759888	2.366151244261899
Vps39	0.0	0.0	0.0	0.0	0.0	0.0
Wbp4	1.0909330599091842	0.0	0.7506180329112004	0.0	1.3052831867912658	1.1118627687847307
Wdr26	0.7003368976124212	1.3338722449518279	0.7956017289755062	0.0	0.6156608203286839	0.5158552790529113
Wdr45	0.4669400908158781	0.0	0.332387957837264	0.5322726511472116	0.60347711335144	0.6730188451316743
Wdr6	0.6845173575509008	0.0	0.0	0.0	0.9190259172305851	1.0609144720947088
